* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Apr 14 2025 17:39:27

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
45, PIO, D[6], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, D[7], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
48, PIO, RAMSPACEn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
49, PIO_GBIN, not used, , , , , , bottomBank
52, PIO_GBIN, CLK6, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, TICK60, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
56, PIO, TICK50, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, not used, , , , , , bottomBank
61, PIO, not used, , , , , , bottomBank
62, PIO, RESETn, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
63, PIO, not used, , , , , , bottomBank
64, PIO, not used, , , , , , bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, not used, , , , , , rightBank
74, PIO, not used, , , , , , rightBank
75, PIO, not used, , , , , , rightBank
76, PIO, not used, , , , , , rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, CIACS0n, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
79, PIO, CIACS1n, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
80, PIO, RTC_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
81, PIO, OVL, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
82, PIO, not used, , , , , , rightBank
83, PIO, not used, , , , , , rightBank
84, PIO, not used, , , , , , rightBank
85, PIO, not used, , , , , , rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, not used, , , , , , rightBank
88, PIO, not used, , , , , , rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, not used, , , , , , rightBank
91, PIO, not used, , , , , , rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, not used, , , , , , rightBank
94, PIO_GBIN, CLK28_IN, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, rightBank
95, PIO, not used, , , , , , rightBank
96, PIO, not used, , , , , , rightBank
97, PIO, not used, , , , , , rightBank
98, PIO, not used, , , , , , rightBank
99, PIO, not used, , , , , , rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, not used, , , , , , rightBank
102, PIO, not used, , , , , , rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, not used, , , , , , rightBank
105, PIO, not used, , , , , , rightBank
106, PIO, not used, , , , , , rightBank
107, PIO, not used, , , , , , rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, not used, , , , , , topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, not used, , , , , , topBank
113, PIO, not used, , , , , , topBank
114, PIO, not used, , , , , , topBank
115, PIO, not used, , , , , , topBank
116, PIO, not used, , , , , , topBank
117, PIO, TACKn, InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
118, PIO, REGSPACEn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
119, PIO, BUFENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
120, PIO, not used, , , , , , topBank
121, PIO, not used, , , , , , topBank
122, PIO, CLK_CIA, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, ROMENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
125, PIO, not used, , , , , , topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, CLK40_IN, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
130, PIO, not used, , , , , , topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, TSn, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
135, PIO, PORTSIZE, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
136, PIO, TM[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
137, PIO, TM[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
138, PIO, TT[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
139, PIO, TT[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
140, GND, not used, , , , , , UnknownBank
141, PIO, not used, , , , , , topBank
142, PIO, not used, , , , , , topBank
143, PIO, not used, , , , , , topBank
144, PIO, not used, , , , , , topBank
Total Number of Used Pins, 48
