* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Feb 2 2025 09:29:37

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, SIZ[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
22, PIO, A[9], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
23, PIO, A[10], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
24, PIO, A[11], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
25, PIO, A[12], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
26, PIO, A[13], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, A[14], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
29, PIO, A[15], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, A[16], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
32, PIO, A[17], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
33, PIO, A[18], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
34, PIO, A[19], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
37, PIO, not used, , , , , , bottomBank
38, PIO, CLKRAM, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
39, PIO, not used, , , , , , bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, REGSPACEn, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
42, PIO, DBENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
43, PIO, DBDIR, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
44, PIO, VBENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
45, PIO, CLLBEn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, CMA[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
48, PIO, CMA[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
49, PIO_GBIN, BANK1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
52, PIO_GBIN, BANK0, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, CMA[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
56, PIO, CMA[10], Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, CRCSn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
61, PIO, RASn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
62, PIO, CASn, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
63, PIO, not used, , , , , , bottomBank
64, PIO, not used, , , , , , bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, WEn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
74, PIO, CUMBEn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
75, PIO, CLMBEn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
76, PIO, CMA[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, CMA[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
79, PIO, CMA[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
80, PIO, CMA[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
81, PIO, CMA[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
82, PIO, CMA[8], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
83, PIO, CMA[9], Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
84, PIO, CLK_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
85, PIO, CUUBEn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, RAS0n, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
88, PIO, RAS1n, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, DRA[8], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
91, PIO, DRA[7], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, not used, , , , , , rightBank
94, PIO_GBIN, RESETn, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
95, PIO, DRA[6], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
96, PIO, DRA[5], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
97, PIO, DRA[4], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
98, PIO, DRA[3], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
99, PIO, DRA[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, DRA[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
102, PIO, DRA[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, CASUn, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
105, PIO, CASLn, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
106, PIO, DRA[9], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
107, PIO, DRDDIR, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, DRDENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, CLK40B_OUT, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
113, PIO, not used, , , , , , topBank
114, PIO, AGNUS_REV, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
115, PIO, CLK40D_OUT, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
116, PIO, ASn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
117, PIO, LDSn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
118, PIO, UDSn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
119, PIO, not used, , , , , , topBank
120, PIO, not used, , , , , , topBank
121, PIO, not used, , , , , , topBank
122, PIO, not used, , , , , , topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, not used, , , , , , topBank
125, PIO, not used, , , , , , topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, not used, , , , , , topBank
130, PIO, RAMSPACEn, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, DMA_LATCH, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
135, PIO, AWEn, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
136, PIO, TSn, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
137, PIO, LATCH_CLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
138, PIO, DBRn, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
139, PIO, not used, , , , , , topBank
140, GND, not used, , , , , , UnknownBank
141, PIO, REGENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
142, PIO, C1, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
143, PIO, C3, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
144, PIO, RnW, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
Total Number of Used Pins, 86
