* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Apr 9 2025 20:28:57

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, D_UU_AMIGA[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, leftBank
84, PIO, D_LM_040[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
85, PIO, D_LM_040[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, D_LM_040[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
88, PIO, D_UM_040[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, D_LM_040[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
91, PIO, D_UM_040[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, CLK40A, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
94, PIO_GBIN, CLK80_CPU, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
95, PIO, D_UM_040[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
96, PIO, BGn, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
97, PIO, RnW, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
98, PIO, D_LM_040[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
99, PIO, D_LM_040[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, TCI_CPUn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
102, PIO, CPUBGn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, D_UM_040[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
105, PIO, D_UM_040[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
106, PIO, D_UM_040[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
107, PIO, D_UU_040[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, D_UM_040[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, D_UU_040[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
113, PIO, D_UU_040[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
114, PIO, D_UM_040[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
115, PIO, D_UU_040[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
116, PIO, D_UU_040[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
117, PIO, D_UU_040[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
118, PIO, D_UU_040[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
119, PIO, D_UU_040[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
120, PIO, SIZ[1], Input, , SB_LVCMOS, Pull Up, Simple Input, topBank
121, PIO, SIZ[0], Input, , SB_LVCMOS, Pull Up, Simple Input, topBank
122, PIO, TEA_CPUn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, TAn, InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, topBank
125, PIO, TS_CPUn, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, CLK40_IN, Input, , SB_LVCMOS, No Pull Up, Input Registered, topBank
130, PIO, not used, , , , , , topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, DMAn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
135, PIO, BUFENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
136, PIO, BUFDIR, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
137, PIO, D_UU_AMIGA[4], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
138, PIO, D_UU_AMIGA[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
139, PIO, D_UU_AMIGA[2], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
140, GND, not used, , , , , , UnknownBank
141, PIO, D_UM_AMIGA[5], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
142, PIO, D_UU_AMIGA[6], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
143, PIO, D_UU_AMIGA[7], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
144, PIO, D_UU_AMIGA[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
Total Number of Used Pins, 96
